C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0.066255451,0.211619329,0.360992159,0.206036585,0.506366351,0.857124579,1,0.634533855,0.567083526,0.060222144,0.390727079,0.294368003
0.062144098,0.234503205,0.097320905,0.245192074,0.492881982,0.847738296,1,0.762838863,0.875786497,0.421667952,0.420692662,0.384328797
0.127328249,0.115158093,0.186301888,0.124503621,0.414528319,0.665078419,0.726197436,1,0.772518516,0.821033151,0.13682194,0.663759607
0.177254216,0.08920294,0.33585226,0.214930704,0.461921664,0.59864785,0.419678731,1,0.749623483,0.744382362,0.799602564,0.231511139
0.444141789,0.012918337,0.026014807,0.397579305,0.577036691,0.797738177,0.315757548,1,0.751346429,0.966177657,0.451692581,0.557415965
1,0.720599929,0.427137533,0.112825271,0.403034556,0.447109847,0.137135482,0.518136161,0.2800412,0.618735606,0.407071604,0.262587096
1,0.710814842,0.595223027,0.388159097,0.294298759,0.189242788,0.13535846,0.197363442,0.104368912,0.210115129,0.214844874,0.209609736
1,0.78866441,0.63517836,0.547196637,0.525471185,0.285317199,0.144460765,0.18726985,0.101195076,0.13425662,0.057160167,0.023111011
1,0.809420353,0.699023429,0.675716558,0.679065207,0.674234696,0.54468225,0.348866931,0.125889712,0.090260182,0.069048685,0.123582903
0.894590059,0.721992003,0.667878106,0.644366451,0.664281107,0.929026788,0.985086564,1,0.701303304,0.284943537,0.162470557,0.063013334
0.649748691,0.465304229,0.42963483,0.363679652,0.343977778,0.584102601,0.803757691,1,0.969495617,0.787460601,0.561536548,0.317213548
0.728680205,0.477230468,0.382069975,0.287699504,0.225939728,0.308010445,0.545696046,0.806511594,0.939532533,1,0.871695734,0.695336507
0.881510524,0.559416357,0.405325897,0.246443469,0.147366161,0.154347452,0.388972722,0.643391145,0.85595068,0.982525057,1,0.927864866
0.966640526,0.625918944,0.435179009,0.233131886,0.101644469,0.117329636,0.271117917,0.532802635,0.758797908,0.887304103,1,0.994830485
0.993388076,0.678331149,0.487607232,0.391159918,0.3868678,0.327680207,0.254289612,0.48222558,0.700075943,0.821407176,0.934338445,1
0.694949617,0.465168637,0.384743554,0.591206799,1,0.733689995,0.226296458,0.341267376,0.500367101,0.554362003,0.593722092,0.692710027
0.491276756,0.314691676,0.298017871,0.634870807,1,0.602256187,0.107093258,0.263378262,0.373646753,0.361791906,0.384060815,0.468540114
0.360757849,0.21749798,0.222551241,0.575846133,1,0.622798279,0.099191189,0.196530294,0.351640909,0.302326957,0.297088122,0.269519322
0.351956533,0.212172833,0.201354756,0.57929152,1,0.5925206,0.094567212,0.173609689,0.439138759,0.451658156,0.34453153,0.15529262
0.328713553,0.267482734,0.169955595,0.577491685,1,0.556358552,0.091947166,0.156817553,0.457346804,0.525212969,0.363109165,0.065449977
0.316358488,0.302858058,0.144660541,0.577406375,1,0.564342878,0.109843347,0.148202755,0.426333655,0.525805808,0.303119321,0.098214115
0.357283856,0.353867334,0.181640515,0.597796954,1,0.56864994,0.109305851,0.154242775,0.427233415,0.550916008,0.299413496,0.155410924
0.415838211,0.418751893,0.236145151,0.600087269,1,0.576139059,0.129472292,0.14690972,0.493650076,0.673581047,0.374795849,0.184342756
0.468097039,0.492804286,0.257350229,0.591511374,1,0.55900032,0.127760916,0.131241188,0.602916152,0.79115024,0.450950677,0.15660107
0.526782585,0.531678944,0.287200856,0.619147126,1,0.560180197,0.139494568,0.120676603,0.640832358,0.894638729,0.535387989,0.092747997
0.582944474,0.537032102,0.289052417,0.605621552,0.96329055,0.500789454,0.115042182,0.113546999,0.683149209,1,0.596694991,0.122218422
0.644579859,0.555641237,0.245485184,0.580402704,0.975763418,0.525517988,0.134120122,0.115943757,0.658687567,1,0.61060593,0.222439732
0.698847694,0.573845576,0.21213783,0.57487813,1,0.568553684,0.131916967,0.111588136,0.572610108,0.873953635,0.537564097,0.309653405
0.689070743,0.559953805,0.209637361,0.515106399,1,0.619268146,0.150063706,0.12745405,0.519119122,0.78509594,0.52713821,0.358810904
0.758595948,0.64122331,0.267596104,0.473706782,1,0.627079779,0.147139801,0.146469499,0.588328402,0.802999436,0.553342677,0.353388506
0.790174539,0.729430411,0.309013476,0.44681016,1,0.620409114,0.154195579,0.176525324,0.628193498,0.821139973,0.572645749,0.287597935
0.781583354,0.794111504,0.250239754,0.45915414,0.957279974,0.608549299,0.161413689,0.161677398,0.66150442,1,0.701643225,0.160948136
0.685551914,0.66278678,0.240634682,0.410133123,0.757351023,0.472425501,0.147160132,0.118101285,0.62287353,1,0.69841778,0.173288824
0.692283306,0.583834094,0.236498361,0.408911123,0.666998158,0.386891036,0.103219502,0.083269068,0.615888818,1,0.71082459,0.32014007
0.712694471,0.485549476,0.206962924,0.444380925,0.752696933,0.476754164,0.111450353,0.074290049,0.651922368,1,0.725089547,0.441195323
0.688502583,0.363515131,0.208672768,0.419778914,0.791610908,0.504224029,0.132352965,0.092342341,0.668964231,1,0.688175525,0.541015284
0.668862314,0.335029149,0.183230582,0.385197103,0.781120667,0.510053182,0.11571422,0.122303801,0.68186602,1,0.683427645,0.493504784
0.636610394,0.439272419,0.207830507,0.357810113,0.633938976,0.428314012,0.087375993,0.086448743,0.61455953,1,0.697988354,0.393436246
0.566354956,0.487272605,0.204602477,0.257225801,0.409297378,0.267094925,0.060340635,0.066196454,0.573975164,1,0.676765958,0.212767268
0.540391271,0.49984499,0.188454406,0.220969741,0.32027016,0.211544876,0.074129989,0.070719005,0.565033716,1,0.674058393,0.078369909
0.567221147,0.512357893,0.176036566,0.276199813,0.412174427,0.227654056,0.072106036,0.081576967,0.591312684,1,0.643718103,0.147982918
0.665563426,0.549581433,0.154015793,0.319355232,0.502848413,0.26333477,0.092312588,0.104856253,0.618513056,1,0.645003427,0.262316748
0.895837547,0.732203335,0.162263329,0.463847708,0.751099004,0.433715277,0.142060441,0.125440564,0.661046986,1,0.720175768,0.434970086
0.917702627,0.798161933,0.208796202,0.462155975,0.817486229,0.504749199,0.142621803,0.128041868,0.642430273,1,0.705391718,0.478993792
0.515833145,0.549149439,0.203982805,0.322813706,0.60939574,0.38818391,0.092920966,0.073714205,0.58612797,1,0.678904703,0.29523612
0.304307411,0.427807568,0.212466378,0.26675346,0.519926287,0.304800677,0.062877298,0.060077895,0.552113429,1,0.666373352,0.21744188
0.340168884,0.42370507,0.208606682,0.240261419,0.425128122,0.225478583,0.043788773,0.03898539,0.522387564,1,0.699514057,0.200687649
0.409076208,0.470410636,0.258309003,0.251911285,0.451850271,0.243039927,0.039295801,0.046790835,0.555662518,1,0.705541207,0.277241124
0.533444707,0.447162223,0.261065794,0.367509811,0.538803905,0.265028866,0.067047264,0.069344933,0.55651057,1,0.817779799,0.493604199
