C,C#,D,D#,E,F,F#,G,G#,A,A#,B
1,0.059186441,0.613623538,0.159437893,0.263396748,0.15733274,0.069887318,0.105784372,0.031806465,0.026238357,0.020013437,0.009412308
1,0.26928061,0.609846036,0.224122655,0.273975164,0.166632852,0.103889393,0.111147266,0.066022037,0.056239871,0.043246577,0.024536735
1,0.507604335,0.599154763,0.358146722,0.314902004,0.200032248,0.146876298,0.122668701,0.107893158,0.095778875,0.080520624,0.068840201
1,0.664966724,0.619888368,0.468922411,0.35731607,0.2154373,0.16297954,0.154298711,0.15379392,0.130693793,0.10872919,0.114553494
1,0.729136036,0.643138187,0.530664289,0.392207052,0.202848896,0.15860872,0.201329599,0.206415826,0.184380934,0.172417701,0.192428633
1,0.702978316,0.623358465,0.539996064,0.426462959,0.239225729,0.145891342,0.237706187,0.238198999,0.200060204,0.218630796,0.276866799
1,0.648379387,0.594610084,0.521366893,0.441300666,0.287494006,0.114674534,0.238590527,0.220501903,0.172262172,0.160505203,0.297694975
1,0.588008108,0.541064183,0.48509052,0.443694011,0.337280924,0.165205977,0.227675829,0.203814453,0.140598472,0.086786892,0.272398099
1,0.512259214,0.516644204,0.462578616,0.440663727,0.400465094,0.252191771,0.31669759,0.211656446,0.140444901,0.089628384,0.241452617
1,0.456216833,0.550339089,0.487542569,0.477727297,0.508263553,0.377860799,0.410287935,0.246059717,0.166147434,0.076980255,0.248810207
1,0.565290962,0.773576176,0.676987862,0.639724165,0.74672091,0.574313066,0.525954396,0.329414336,0.187579842,0.169182754,0.288025466
0.856883005,0.721333531,1,0.902578734,0.745425052,0.824062401,0.647852491,0.558012315,0.378986801,0.158618079,0.155263599,0.290845781
0.826381209,0.792736386,1,0.953779097,0.754099294,0.66412012,0.567443043,0.481811182,0.372574124,0.167417548,0.153730691,0.23408331
0.860929298,0.88220774,0.957513685,1,0.847050927,0.62911904,0.496953015,0.500402078,0.387829758,0.234473255,0.152808363,0.23814938
0.952841915,0.947985776,0.889524813,1,0.911136684,0.606111208,0.419666977,0.533281122,0.384892379,0.263164883,0.135197599,0.249619323
0.968028395,0.965449523,0.820680638,1,0.891701161,0.552695161,0.3792778,0.446447383,0.358351184,0.254164071,0.158265199,0.223026778
0.924202393,0.919692622,0.750428311,1,0.882201707,0.533606458,0.392788219,0.289368209,0.338871998,0.253153991,0.157676167,0.210367551
0.847097156,0.891514274,0.625562808,1,0.912038013,0.597760307,0.417833544,0.371334134,0.353183532,0.255395331,0.198734058,0.213468411
0.749530558,0.883750728,0.436116865,1,0.871987578,0.624633964,0.424098184,0.398645108,0.329809177,0.281120395,0.12004992,0.200181533
0.764154645,0.935876767,0.410550602,1,0.781679878,0.603308944,0.473825164,0.435468085,0.33391882,0.35009215,0.161008429,0.182340821
0.861857968,1,0.4779779,0.931070974,0.648016988,0.512678854,0.45729273,0.456771578,0.510547825,0.40455458,0.217508282,0.13372194
0.962821964,1,0.514398726,0.736751419,0.532575879,0.426247608,0.396042566,0.425353238,0.546423825,0.413231808,0.178708097,0.181064055
1,0.880335018,0.477006216,0.497259167,0.411764658,0.343637118,0.387790614,0.397102665,0.434674998,0.345518126,0.142691087,0.187223364
1,0.719823595,0.37100649,0.304089422,0.296501362,0.264877984,0.417543813,0.3612366,0.30673383,0.263681816,0.182089213,0.179676593
1,0.582987363,0.303416235,0.272336943,0.218269264,0.216564046,0.437731197,0.330963629,0.2458319,0.239604986,0.172351574,0.175223493
